vectorAddCPU took 203 milliseconds to execute.
grid_size:1 block_size:1 vectorAddCUDASerial took 10285 milliseconds to execute.
cpu and gpu max diff:0
grid_size,block_size,elasped_time,max_diff
198545,338,132,0
197960,339,113,0
197378,340,133,0
196799,341,121,0
196223,342,107,0
195651,343,142,0
195082,344,116,0
194517,345,110,0
193955,346,120,0
193396,347,116,0
192840,348,118,0
192288,349,119,0
191738,350,158,0
191192,351,109,0
190649,352,120,0
190109,353,125,0
189572,354,105,0
189038,355,104,0
188507,356,123,0
187979,357,161,0
187453,358,161,0
186931,359,127,0
186412,360,124,0
185896,361,119,0
185382,362,139,0
184871,363,102,0
184364,364,126,0
183858,365,129,0
183356,366,113,0
182856,367,104,0
182360,368,103,0
181865,369,119,0
181374,370,160,0
180885,371,113,0
180399,372,118,0
179915,373,121,0
179434,374,111,0
178955,375,122,0
178480,376,126,0
178006,377,111,0
177535,378,102,0
177067,379,130,0
176601,380,108,0
176137,381,120,0
175676,382,108,0
175217,383,122,0
174761,384,100,0
174307,385,112,0
173856,386,103,0
173406,387,116,0
172959,388,113,0
172515,389,116,0
172073,390,126,0
171632,391,110,0
171195,392,116,0
170759,393,122,0
170326,394,115,0
169894,395,112,0
169465,396,123,0
169038,397,123,0
168614,398,110,0
168191,399,126,0
167771,400,116,0
167352,401,130,0
166936,402,155,0
166522,403,110,0
166110,404,113,0
165699,405,162,0
165291,406,150,0
164885,407,162,0
164481,408,161,0
164079,409,133,0
163679,410,114,0
163280,411,131,0
162884,412,101,0
162490,413,106,0
162097,414,118,0
161707,415,123,0
161318,416,124,0
160931,417,123,0
160546,418,128,0
160163,419,117,0
159782,420,161,0
159402,421,130,0
159024,422,100,0
158648,423,109,0
158274,424,123,0
157902,425,129,0
157531,426,125,0
157162,427,122,0
156795,428,120,0
156429,429,99,0
156066,430,113,0
155704,431,111,0
155343,432,103,0
154984,433,124,0
154627,434,115,0
154272,435,126,0
153918,436,111,0
153566,437,161,0
153215,438,161,0
152866,439,122,0
152519,440,102,0
152173,441,123,0
151829,442,151,0
151486,443,105,0
151145,444,106,0
150805,445,118,0
150467,446,132,0
150130,447,123,0
149795,448,114,0
149461,449,100,0
149129,450,123,0
148799,451,124,0
148469,452,113,0
148142,453,119,0
147815,454,161,0
